mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__epsilon,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.016963839530944824,0.004163398063407997,0.00473552942276001,0.00023247904408208895,100,0.2,0.1,"{'model__C': 100, 'model__epsilon': 0.2, 'model__gamma': 0.1}",-61.09206114386145,-41.92129765737302,-70.86503960047568,-48.80508562073719,-55.67087100561183,11.140487399727618,15
0.017639517784118652,0.0035108186559543978,0.004901409149169922,0.00025542848486092694,500,0.1,0.01,"{'model__C': 500, 'model__epsilon': 0.1, 'model__gamma': 0.01}",-61.26635379469497,-44.08310706390492,-70.29558976405858,-47.05125482145502,-55.67407636102837,10.650890122899087,16
0.016721367835998535,0.003565166600497821,0.00453263521194458,0.00015206362160796096,100,0.01,auto,"{'model__C': 100, 'model__epsilon': 0.01, 'model__gamma': 'auto'}",-60.67283226457819,-42.14195256637551,-71.63659320002155,-48.2556573520825,-55.67675884576444,11.379156280471953,17
0.017472922801971436,0.004492259794772493,0.004711747169494629,0.000400065612024981,100,0.1,0.1,"{'model__C': 100, 'model__epsilon': 0.1, 'model__gamma': 0.1}",-61.08263246488836,-41.91038236370307,-70.90503512795813,-48.81715867524334,-55.67880215794823,11.154495588747274,18
0.016999542713165283,0.0036980810657288666,0.004820823669433594,0.00024995336952128165,100,0.05,auto,"{'model__C': 100, 'model__epsilon': 0.05, 'model__gamma': 'auto'}",-60.68645629170028,-42.14960581726028,-71.62466719437519,-48.26270076129386,-55.6808575161574,11.373048275809586,19
0.01701831817626953,0.0039046854467405774,0.0047155022621154785,0.0002230639546760676,100,0.05,0.1,"{'model__C': 100, 'model__epsilon': 0.05, 'model__gamma': 0.1}",-61.078036125991034,-41.91090619064929,-70.9192539052309,-48.82679053755674,-55.683746689856996,11.157150417128044,20
0.01715177297592163,0.0035587464228999067,0.004743456840515137,7.837129133555694e-05,100,0.1,auto,"{'model__C': 100, 'model__epsilon': 0.1, 'model__gamma': 'auto'}",-60.70336363873428,-42.15184497811283,-71.60999796512178,-48.27128802065816,-55.68412365065676,11.367705802918383,21
0.017332792282104492,0.0037417505840719556,0.0050147175788879395,0.00023958163150669074,100,0.2,auto,"{'model__C': 100, 'model__epsilon': 0.2, 'model__gamma': 'auto'}",-60.73662994386309,-42.14924998555519,-71.578007009312,-48.28674655561569,-55.6876583735865,11.358447199120807,22
0.017092108726501465,0.004114153779831484,0.004554927349090576,0.00019701854383128104,100,0.01,0.1,"{'model__C': 100, 'model__epsilon': 0.01, 'model__gamma': 0.1}",-61.074630108170794,-41.91504418903553,-70.9325139934361,-48.83548406325217,-55.689418088473644,11.15865436789518,23
0.018132686614990234,0.004636973986848336,0.00544428825378418,0.0004417041844164406,500,0.2,0.01,"{'model__C': 500, 'model__epsilon': 0.2, 'model__gamma': 0.01}",-61.297481963687325,-44.064204130171184,-70.30962166477946,-47.08672020048648,-55.68950698978111,10.657775841349093,24
0.017004787921905518,0.003953116412188224,0.004708766937255859,0.00024089722857830543,100,0.01,scale,"{'model__C': 100, 'model__epsilon': 0.01, 'model__gamma': 'scale'}",-60.941012946549975,-42.0398281449937,-71.2277729590363,-48.7719192789997,-55.745133332394914,11.215730017340752,25
0.018468916416168213,0.005366527691896285,0.005810558795928955,0.0009769291739862497,100,0.05,scale,"{'model__C': 100, 'model__epsilon': 0.05, 'model__gamma': 'scale'}",-60.952557623065644,-42.03785784247331,-71.23476466580428,-48.772055169543634,-55.74930882522172,11.220061243938046,26
0.01729607582092285,0.0037795178785866006,0.004873216152191162,0.0001497437966208302,100,0.2,scale,"{'model__C': 100, 'model__epsilon': 0.2, 'model__gamma': 'scale'}",-60.99257541092517,-42.029628938760474,-71.2256256074953,-48.75814877665015,-55.75149468345778,11.226243155368637,27
0.017752647399902344,0.004239423550903656,0.004829823970794678,0.00017199767924634313,100,0.1,scale,"{'model__C': 100, 'model__epsilon': 0.1, 'model__gamma': 'scale'}",-60.967847500543556,-42.0363217257687,-71.23696193741294,-48.767901313251286,-55.75225811924412,11.223709013445795,28
